lat,lon
45.47063104,-84.93209702
45.4658908,-84.92792565
45.46583959,-84.92776075
45.46579423,-84.92760363
45.4657396,-84.9274377
45.46567469,-84.92728266
45.46560939,-84.92717055
45.43148736,-84.95704275
45.43149997,-84.95733962
45.43149635,-84.95765925
45.43150575,-84.95795988
45.43151344,-84.95825738
45.43151743,-84.95856906
45.43152277,-84.95888103
45.43151873,-84.95919638
45.43152326,-84.95949945
45.43153011,-84.95981007
45.43153694,-84.96011724
45.43154237,-84.96042076
45.43154913,-84.96072606
45.43155475,-84.96103495
45.43156448,-84.9613245
45.43157349,-84.96161983
45.43157596,-84.96191644
45.43157831,-84.96221703
45.43158005,-84.96250926
45.43157941,-84.96281214
45.4315875,-84.96310887
45.43158206,-84.96341621
45.43159408,-84.96371576
45.43160141,-84.96401964
45.43160996,-84.96431927
45.43162758,-84.96459843
45.43164856,-84.96489676
45.43166994,-84.96518827
45.43169302,-84.96547827
45.43171482,-84.96576716
45.43174228,-84.96605992
45.43176247,-84.9663505
45.43177876,-84.96664158
45.43180186,-84.9669178
45.43182431,-84.9671887
45.43185323,-84.96745035
45.43189221,-84.96773059
45.43194563,-84.96797665
45.43198674,-84.96823385
45.43202633,-84.96849174
45.43207242,-84.96874945
NaN,NaN
NaN,NaN
45.41098612,-84.90285808
45.41081897,-84.90274258
45.41066049,-84.90262708
45.41049225,-84.90251759
45.41032274,-84.90240711
45.41015492,-84.90232225
45.40997904,-84.90224907
45.40979124,-84.90219625
45.40959844,-84.90216311
45.40940938,-84.90214856
45.40921812,-84.90214078
45.40902798,-84.90214129
45.40882813,-84.90213728
45.4086281,-84.90213352
45.40842727,-84.90213133
45.40821765,-84.90212442
45.40801078,-84.9021241
45.40779924,-84.9021216
45.40759366,-84.90212217
45.40738967,-84.90212317
45.40718007,-84.90211863
45.40697467,-84.90211681
45.40676649,-84.90211345
45.40656199,-84.9021056
45.40636263,-84.90210723
45.40617233,-84.90209642
45.40597534,-84.90209907
45.40577186,-84.90211073
45.40557273,-84.90212043
45.4053776,-84.90212458
45.40517811,-84.90212942
45.40498039,-84.90213611
45.404785,-84.90213876
45.40459116,-84.90213238
45.40441323,-84.90212357
45.40422162,-84.90213096
45.40402578,-84.90211519
45.40383061,-84.90210418
45.40364384,-84.90210376
45.40345509,-84.90211021
45.40326047,-84.9021042
45.40307087,-84.90210169
45.40288091,-84.90210154
45.40268624,-84.90209824
45.40249086,-84.90209104
45.40229663,-84.90208549
45.40210101,-84.90208528
45.40190578,-84.9020813
45.40170561,-84.90207752
45.40150519,-84.90207245
45.40131451,-84.9020718
45.40112511,-84.90207106
45.40093444,-84.90206708
45.40074962,-84.90206708
45.40056939,-84.9020591
45.40039209,-84.90205544
45.40021621,-84.90205388
45.40004039,-84.90205326
45.39987268,-84.9020484
45.39970288,-84.90204653
45.39954423,-84.90204594
45.3993892,-84.90204877
45.39923263,-84.90205086
45.39907986,-84.90205686
45.39892222,-84.9020778
45.39877047,-84.90212226
45.39861637,-84.90217401
45.39846118,-84.90225283
45.39830967,-84.90235626
45.39815849,-84.90247186
45.39800976,-84.90259602
45.39785669,-84.90272593
45.3977044,-84.90285634
45.39755307,-84.90297623
45.3973959,-84.90310259
45.39723968,-84.90324151
45.39708749,-84.90337495
45.39692982,-84.90350113
45.39677568,-84.90362665
45.39662488,-84.90376372
45.39647026,-84.90390622
45.39631391,-84.90405231
45.39616093,-84.90420244
45.39600604,-84.90434906
45.39584883,-84.90450356
45.39569545,-84.90466119
45.395541,-84.90482137
45.39538371,-84.90497876
45.39522687,-84.9051369
45.39506776,-84.90530249
45.39491306,-84.90547983
45.39475855,-84.90566567
45.39460791,-84.90585034
45.39445828,-84.90603988
45.39430329,-84.90622952
45.39415261,-84.90642076
45.39400426,-84.90661157
45.39385411,-84.90681293
45.39370716,-84.90702001
45.393563,-84.90722341
45.39341435,-84.90743109
45.39326443,-84.90764119
45.39311721,-84.90784927
45.39297375,-84.90806165
45.39282322,-84.90827196
45.39267528,-84.90848095
45.3925285,-84.90868769
45.39238221,-84.90889349
45.39223985,-84.90909918
45.39209404,-84.90930452
45.39195095,-84.90951182
45.39181403,-84.90971507
45.39167404,-84.90991574
45.39153481,-84.91011424
45.39139725,-84.91031212
45.39125662,-84.91050409
45.39111459,-84.91068572
45.39097686,-84.91086174
45.39083841,-84.91103532
45.39070353,-84.91119154
45.39056847,-84.9113435
45.3904355,-84.91148137
45.39030269,-84.91161116
45.39017573,-84.91172312
45.39005356,-84.91182964
45.38994167,-84.9119312
45.38983547,-84.91203393
45.38973956,-84.91212317
45.38964914,-84.91220676
45.38956799,-84.91228615
45.38950345,-84.91234979
45.38945201,-84.91239908
45.38941734,-84.91243275
45.38940196,-84.91244695
45.38939749,-84.91244559
45.38940054,-84.91244341
45.38940521,-84.91244122
45.3894058,-84.91243364
45.38940688,-84.91243107
45.38940556,-84.91243003
45.38940615,-84.91242911
45.3894058,-84.91242773
45.38940641,-84.91242688
45.38940645,-84.91242569
45.38940676,-84.91242349
45.38940711,-84.91242255
45.38940676,-84.9124224
45.38940758,-84.91242185
45.38940785,-84.91242154
45.38940786,-84.91242143
45.38940783,-84.91242142
45.38940785,-84.91242138
45.38940773,-84.91242142
45.38940773,-84.91242145
45.38940772,-84.91242147
45.38940775,-84.91242149
45.38940776,-84.91242147
45.38940777,-84.91242142
45.38940777,-84.9124214
45.38940777,-84.91242142
45.38940776,-84.9124214
45.38940777,-84.91242139
45.38940775,-84.91242139
45.38940777,-84.91242139
45.38940778,-84.91242139
45.38940779,-84.91242136
45.38940781,-84.91242135
45.38940782,-84.91242134
45.38940782,-84.9124213
45.38940785,-84.91242129
45.38940786,-84.91242128
45.38940788,-84.91242129
45.38940645,-84.91242273
45.38940339,-84.91241983
45.38940256,-84.9124194
45.38940354,-84.91241447
45.38940453,-84.91241337
45.38940798,-84.91241454
45.38940465,-84.9124165
45.389404,-84.91241685
45.38940427,-84.9124165
45.38940135,-84.91241683
45.38940427,-84.91241287
45.38940623,-84.91241205
45.38940777,-84.91241149
45.38940789,-84.91241127
45.38940752,-84.91241116
45.38940762,-84.91241093
45.38940775,-84.91241074
45.38940769,-84.91241068
45.38940853,-84.91241106
45.38940854,-84.91241109
45.38940778,-84.91241075
45.38940782,-84.91241076
45.3894083,-84.91241103
45.38940808,-84.91241091
45.38940804,-84.91241086
45.38940802,-84.91241083
45.38940797,-84.91241075
45.38940795,-84.91241073
45.38940793,-84.91241073
45.38940792,-84.91241072
45.38940792,-84.91241071
45.38940789,-84.9124107
45.38940786,-84.91241066
45.38940784,-84.91241067
45.38940781,-84.91241068
45.38940776,-84.91241067
45.38940769,-84.91241063
45.38940765,-84.91241058
45.38940756,-84.91241055
45.38940755,-84.91241051
45.38940754,-84.9124105
45.38940755,-84.91241048
45.38940753,-84.9124105
45.38940604,-84.91241248
45.38939183,-84.91242165
45.38935711,-84.91242279
45.38930273,-84.91240876
45.38925276,-84.91235121
45.38921091,-84.91225784
45.38918393,-84.91214509
45.38917271,-84.91201776
45.38916818,-84.91188015
45.38915576,-84.91171104
45.38915198,-84.91153754
45.38913952,-84.91134785
45.38912489,-84.9111545
